Date,Description,Amount,Category
07/17/2025,CHEVRON,20.00,Miscellaneous
07/17/2025,ELEC PYMT FPL DIRECT DEBIT PPDAJACK LESLIE BARTON ACH DEBIT,239.95,Rent/Utilities
07/17/2025,PIZZA HUT,7.00,Miscellaneous
07/17/2025,VISA PROVISIONING SERVI,0.00,Miscellaneous
07/18/2025,DEBIT CARD PURCHASEPIN SARASOTA HOBBYLOBB S TAMI,8.22,Entertainment
07/18/2025,DIANES PAWFECTION SARASOT,70.00,Miscellaneous
07/18/2025,MOBILE FROM TRUIST ONLINE TRANSFER,-1600.00,Transfers
07/18/2025,MOBILE TO TRUIST DEPOSIT TRANSFER,1600.00,Transfers
07/18/2025,OPENAI CHATGPT SU OPENAICOM CA DEBIT CARD RECURRING PYMT,20.00,Miscellaneous
07/18/2025,PAYMENTS VERIZON FINANCIA CONVERTED CHECK ARC,20.25,Phone
07/18/2025,PR PAYMENT FINANCIAL SERVIC ADKINS RACHEL ACH CREDIT,-1696.25,Paychecks
07/18/2025,STRAIGHTTALKSERVICES,50.16,Phone
07/18/2025,WALMART,68.22,Groceries/Home
